term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,model,n,r2_m1,r2_m2
(Intercept),0.3017991329577807,0.010840883221585928,27.838980163244496,3.7781582655577103e-56,0.2803485933407327,0.32324967257482873,128,share,M1,131,0.09394647838678849,0.8251057293132225
condition_factorTreated,0.041549968569705824,0.015917116636333266,2.61039543272942,0.010122525204811801,0.010055233867924548,0.0730447032714871,128,share,M1,131,0.09394647838678849,0.8251057293132225
condition_factorAdjacent,0.04237716973331201,0.01321632250892289,3.206426727609092,0.0016975559971092124,0.016226417642850814,0.06852792182377321,128,share,M1,131,0.09394647838678849,0.8251057293132225
(Intercept),0.7798180653743245,0.024684104799060233,31.591911949912543,1.0003659408764604e-61,0.7309689476405289,0.8286671831081202,126,share,M2,131,0.09394647838678849,0.8251057293132225
condition_factorTreated,0.018368744719537193,0.008608437090039438,2.1338071623699397,0.03479645849512453,0.001332900789263517,0.03540458864981087,126,share,M2,131,0.09394647838678849,0.8251057293132225
condition_factorAdjacent,0.018466168010818795,0.006560341238816372,2.81481821426571,0.005665337194415704,0.005483445560174509,0.03144889046146308,126,share,M2,131,0.09394647838678849,0.8251057293132225
