term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,model,n,r2_m1,r2_m2
(Intercept),0.5482790587073118,0.017187563394110143,31.899754848043017,4.472929936543541e-49,0.5141055780030723,0.5824525394115512,85,share,M1,88,0.011501164665806196,0.1722513582262748
condition_factorTreated,-0.013425430033204771,0.027629654067185073,-0.48590655534662514,0.6282837109259285,-0.06836058450968634,0.04150972444327679,85,share,M1,88,0.011501164665806196,0.1722513582262748
condition_factorAdjacent,-0.02348895071027792,0.02177997902424581,-1.078465258581271,0.28387717087146125,-0.06679338402971291,0.019815482609157074,85,share,M1,88,0.011501164665806196,0.1722513582262748
(Intercept),0.5323476553291283,0.08208634372549059,6.485215824807365,7.0760438081966765e-9,0.36895887520370296,0.6957364354545537,79,share,M2,88,0.011501164665806196,0.1722513582262748
condition_factorTreated,-0.012215509710716855,0.025799094769816067,-0.4734859815705055,0.6371723285680373,-0.06356732331904424,0.03913630389761054,79,share,M2,88,0.011501164665806196,0.1722513582262748
condition_factorAdjacent,-0.02026154601737024,0.02052071476428034,-0.9873703840296427,0.3264755857542423,-0.06110700703400454,0.02058391499926406,79,share,M2,88,0.011501164665806196,0.1722513582262748
