term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,model,n,r2_m1,r2_m2
(Intercept),0.6592965840717283,0.03883927127338688,16.974998820935294,9.028243690170837e-26,0.5817514769892475,0.7368416911542092,66,share,M1,69,0.0010806573996499091,0.25323981750447144
condition_factorTreated,0.008503733053608681,0.05397793348521384,0.15754091541755866,0.8752995527219374,-0.09926668835154381,0.11627415445876119,66,share,M1,69,0.0010806573996499091,0.25323981750447144
condition_factorAdjacent,0.011738851256483157,0.04638185059704315,0.2530914809430116,0.8009841872854706,-0.08086550133073524,0.10434320384370156,66,share,M1,69,0.0010806573996499091,0.25323981750447144
(Intercept),0.2871031358959922,0.1314390657610892,2.1843059689563407,0.03266934876424036,0.024443121914557775,0.5497631498774266,63,share,M2,69,0.0010806573996499091,0.25323981750447144
condition_factorTreated,-0.014277800966352734,0.05744242512875655,-0.2485584641377728,0.8045108190236598,-0.12906732796185916,0.1005117260291537,63,share,M2,69,0.0010806573996499091,0.25323981750447144
condition_factorAdjacent,0.004280445470728365,0.045394974430106434,0.09429337772441893,0.9251753709571393,-0.0864341723596457,0.09499506330110244,63,share,M2,69,0.0010806573996499091,0.25323981750447144
