term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,model,n,r2_m1,r2_m2
(Intercept),0.3899745634777834,0.02046619180705447,19.054573862801554,1.9874429106084354e-32,0.3492822911195438,0.43066683583602305,85,dvote12,M1,88,0.031450902540556935,0.8225002408919925
condition_factorTreated,0.025184923115056074,0.027195349794083317,0.9260746159086126,0.3570291322691832,-0.028886718113137047,0.0792565643432492,85,dvote12,M1,88,0.031450902540556935,0.8225002408919925
condition_factorAdjacent,0.03652455560574109,0.02734849649876629,1.3355233479613309,0.18527041968771152,-0.017851582300509074,0.09090069351199126,85,dvote12,M1,88,0.031450902540556935,0.8225002408919925
(Intercept),0.014771172972708661,0.03104765758256055,0.47575804820153705,0.6355273879610089,-0.04700392669468506,0.07654627264010239,81,dvote12,M2,88,0.031450902540556935,0.8225002408919925
condition_factorTreated,0.0246700898107479,0.017043804688357856,1.4474520367860906,0.15162974786071698,-0.00924173527734836,0.05858191489884416,81,dvote12,M2,88,0.031450902540556935,0.8225002408919925
condition_factorAdjacent,0.017692465800898644,0.01562958000793841,1.131986002945215,0.2609803662856973,-0.013405495782271837,0.04879042738406912,81,dvote12,M2,88,0.031450902540556935,0.8225002408919925
